item,nombre,sku,nombredepa,marca,nombrecat,dieta,estado,image
82639,HARINA P GALLETAS CHOCOLATE CH,1600030650,Despensa,BETTY CROCKER,Reposteria,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/82639.JPG
247793,DOUBLE CHOCOLATE CHUNK,1600030670,Despensa,BETTY CROCKER,Reposteria,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/247793.JPG
297243,CHOCO CHIP COOKIE MIX,1600030790,Despensa,BETTY CROCKER,Reposteria,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/297243.JPG
168207,CHEWY TRAIL MIX DARK CHOCOLATE,1600040761,Despensa,NATURE VALLEY,Cereales Y Granola,NULL,1,https://riba.app/imgrs/THUMBS%20500X500/168207.JPG
286033,NAT VALLEY VARIETY PACK 12,1600041126,Despensa,NATURE VALLEY,Cereales Y Granola,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/286033.JPG
358704,BARRA NV CON PROTEINA CARAMELO,1600041269,Despensa,NATURE VALLEY,Cereales Y Granola,"[""Gluten-free""]",1,https://riba.app/imgrs/THUMBS%20500X500/358704.JPG
177294,OATS AND DARK CHOCOLATE,1600041314,Despensa,NATURE VALLEY,Cereales Y Granola,NULL,1,https://riba.app/imgrs/THUMBS%20500X500/177294.JPG
6047,PURE DE PATATAS LIBRE GLUTEN,1600041610,Despensa,BETTY CROCKER,Conservas Y Encurtidos,"[""Gluten-free"",""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/6047.JPG
6048,HARINA PARA PANCAKE ORIGINAL,1600042040,Despensa,BETTY CROCKER,Harinas,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/6048.JPG
6049,HARINA PARA PANCAKE ORIGINAL,1600042060,Despensa,BETTY CROCKER,Harinas,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/6049.JPG
224838,FIBER ONE BROW CHOC FUDGE ,1600042371,Despensa,GENERAL MILLS,Cereales Y Granola,NULL,1,https://riba.app/imgrs/THUMBS%20500X500/224838.JPG
353984,NV GRANOLA CRUNCHY OATS& HONEY,1600043268,Despensa,NATURE VALLEY,Cereales Y Granola,NULL,1,https://riba.app/imgrs/THUMBS%20500X500/353984.JPG
243438,GM CINN TOAST CRUNCH 49.5 OZ,1600043532,Despensa,GENERAL MILLS,Cereales Y Granola,NULL,1,https://riba.app/imgrs/THUMBS%20500X500/243438.JPG
114111,CHEWY TRAIL MIX FRUIT Y NUT,1600043980,Despensa,NATURE VALLEY,Cereales Y Granola,NULL,1,https://riba.app/imgrs/THUMBS%20500X500/114111.JPG
336338,NATURE VALLEY GRANOLA PROTEIN,1600044169,Despensa,NATURE VALLEY,Cereales Y Granola,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/336338.JPG
280969,BC GINGERBREAD MIX,1600044530,Despensa,BETTY CROCKER,Reposteria,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/280969.JPG
278127,NV PROTEIN PEANUT BUTTER DARK,1600045723,Despensa,NATURE VALLEY,Cereales Y Granola,"[""Gluten-free""]",1,https://riba.app/imgrs/THUMBS%20500X500/278127.JPG
278126,NV PROTEIN PEANUT ALMOND CHOCO,1600045724,Despensa,NATURE VALLEY,Cereales Y Granola,"[""Gluten-free""]",1,https://riba.app/imgrs/THUMBS%20500X500/278126.JPG
5735,GLASEADO EN CREMA DE VAINILLA,1600045830,Despensa,BETTY CROCKER,Reposteria,"[""Gluten-free"",""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/5735.JPG
6063,GLASEADO RICH CREAMY CHOCOLATE,1600045840,Despensa,BETTY CROCKER,Reposteria,"[""Gluten-free"",""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/6063.JPG
